CarParkID,Area,Development,Location,AvailableLots,LotType,Agency
1,Marina,Suntec City,1.29375 103.85718,2791,C,LTA
2,Marina,Marina Square,1.29115 103.85728,1825,C,LTA
3,Marina,Raffles City,1.29382 103.85319,481,C,LTA
4,Marina,The Esplanade,1.29011 103.85561,714,C,LTA
5,Marina,Millenia Singapore,1.29251 103.86009,1305,C,LTA
6,Marina,Singapore Flyer,1.28944 103.86311,244,C,LTA
16,Harbfront,VivoCity P3,1.26421 103.82263,1388,C,LTA
17,Harbfront,Sentosa,1.25017 103.83126,1593,C,LTA
19,Harbfront,Harbourfront Centre,1.26426 103.82011,960,C,LTA
50,Harbfront,VivoCity P2,1.26426 103.82164,860,C,LTA
20,Orchard,Far East Plaza,1.3071 103.83359,496,C,LTA
18,Orchard,Tang Plaza,1.30491 103.83312,391,C,LTA
15,Orchard,Wheelock Place,1.3048 103.83063,258,C,LTA
13,Orchard,Ngee Ann City,1.30236 103.8349,1132,C,LTA
12,Orchard,Mandarin Hotel,1.30216 103.83601,31,C,LTA
11,Orchard,Cineleisure,1.30151 103.83641,293,C,LTA
21,Orchard,Centrepoint,1.302 103.83975,313,C,LTA
24,Orchard,313@Somerset,1.30084 103.83872,205,C,LTA
7,Orchard,Orchard Point,1.30135 103.84061,227,C,LTA
22,Orchard,Concorde Hotel,1.3006 103.84191,277,C,LTA
9,Orchard,Plaza Singapura,1.30103 103.84503,694,C,LTA
10,Orchard,The Cathay,1.2995 103.84762,150,C,LTA
23,Orchard,ION Orchard,1.30403 103.83206,458,C,LTA
14,Orchard,Wisma Atria,1.30366 103.83327,199,C,LTA
8,Orchard,The Heeren,1.30255 103.83739,152,C,LTA
26,Harbfront,Resorts World Sentosa,1.25667 103.82012,2597,C,LTA
27,Orchard,Orchard Central,1.30072 103.83979,201,C,LTA
29,Marina,Marina Bay Sands,1.28225028515239 103.858300275795,711,C,LTA
43,JurongLakeDistrict,Westgate,1.3343 103.74282,489,C,LTA
52,Orchard,Orchard Gateway,1.30048 103.83931,247,C,LTA
53,JurongLakeDistrict,IMM Building,1.334847 103.746815,949,C,LTA
54,JurongLakeDistrict,JCube,1.33341 103.740088,257,C,LTA
55,Orchard,Paragon,1.3038 103.83585,405,C,LTA
56,Marina,National Gallery,1.29027 103.85167,99,C,LTA
57,Orchard,The Atrium@Orchard,1.299781 103.84552,100,C,LTA
58,Others,Bukit Panjang Plaza,1.37974 103.7644,295,C,LTA
59,Others,Clarke Quay,1.290678 103.84648,409,C,LTA
60,Others,The Star Vista,1.306787 103.78843,768,C,LTA
61,Others,Bugis+,1.299748 103.85414,282,C,LTA
62,Others,Lot One,1.385126 103.74494,308,C,LTA
63,Others,Tampines Mall,1.352524 103.9447,290,C,LTA
64,Others,Junction 8,1.350521 103.84859,228,C,LTA
65,Others,Bedok Mall,1.3248 103.92939,238,C,LTA
66,Others,Funan Mall,1.2911 103.8502,363,C,LTA
A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,210,C,URA
A0007,,ANGULLIA PARK OFF STREET,1.3053280313212745 103.82957069514487,0,Y,URA
A0011,,ARMENIAN STREET OFF STREET,1.2939260442319098 103.84886606187928,52,C,URA
A0021,,AMOY STREET OFF STREET,1.280790422979401 103.84717734239698,16,C,URA
A0024,,ADAM ROAD FOOD CENTRE OFF STREET,1.3241651253846303 103.81389905715554,17,C,URA
A0035,,ANTHONY ROAD OFF STREET,1.3102963501645515 103.83689301744363,48,C,URA
A0046,,ALJUNIED ROAD OFF STREET,1.3138928367737375 103.88178819343076,5,C,URA
B0031,,BEATTY ROAD OFF STREET,1.31411103114537 103.85960539693774,13,C,URA
B0032,,BUKIT TIMAH MARKET OFF STREET,1.3390889296394692 103.77639634689159,122,C,URA
B0063,,BUKIT BATOK NATURE PARK OFF STREET,1.3473952305359211 103.76148104730633,101,C,URA
B0087,,BAGHDAD STREET OFF STREET,1.3013034071461544 103.86037519945218,20,C,URA
B0088,,BEDOK ROAD FOOD CENTRE OFF STREET,1.320882494257288 103.95521451777431,93,C,URA
B0096,,BUKIT TIMAH LINK OFF STREET,1.3413345543964925 103.7768692104473,22,C,URA
C0119,,CEYLON ROAD OFF STREET,1.3098549757016427 103.89943305397595,22,C,URA
C0133,,CARPENTER STREET OFF STREET,1.288265760877135 103.84818289117743,59,C,URA
C0148,,CLEMENCEAU AVENUE NORTH (NEWTON FC),1.3110998019417506 103.83975443423321,227,C,URA
C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,31,C,URA
C0162,,CLEMENCEAU AVENUE OFF STREET,1.2939732461823374 103.84451675349408,0,Y,URA
D0006,,DUXTON HILL OFF STREET,1.279121361423107 103.84307668605454,58,C,URA
D0026,,DICKSON ROAD OFF STREET,1.3058961275027456 103.85356732694179,6,Y,URA
